Authors,Reference,Year published,Report type,Country of study,Ocean,Region,Study type,Years of data,Focus species Common Name,Other Species,"Life stage studied (Adult, Juvenile, Larval, Egg)",Temperature information recorded,Depth distribution information was recorded,Role in ecosystem: Predator species identified,Role in ecosystem: Prey species identified,Sampling gear used,Hydroacoustic frequency,StockStructure,Distribution_DataType,Distribution_DistributionHabitatUse,GrowthLifeHistory_MassOrSize,GrowthLifeHistory_Condition,GrowthLifeHistory_Foraging,GrowthLifeHistory_Other,Survival_Survival&Mortality,Performance_Stress,Performance_Energy,Performance_Swimming,Performance_Other,Migration_Spawning,Migration_Other,Reproduction_Maturation,Reproduction_Spawning,Reproduction_EggAbundance,Reproduction_EggSizeOrWeight,Reproduction_Fecundity,Reproduction_Other,Productivity_BiomassOrAbundance,Productivity_Recruitment,Productivity_Other,URL,DFO_Region,,,,
"Lilly, G. R.","Lilly, G. R. 1995 Did the feeding level of the cod off southern Labrador and eastern Newfoundland decline in the 1990s? DFO Atlantic Fisheries Research Document 95/74",1995,organization report,Canada,Atlantic,Newfoundland and Labrador shelf ecosystem (Divs. 2GHJ3KL),"ecosystem, distribution",> 5 years,Capelin,no,not specified,no,yes,yes,no,"bottom trawl, predator",NA,NA,standardized abundance,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NLMar,,,,
"Hay, D.E., McCarter, P.B., and Daniel, K.S.","Hay, D.E., McCarter, P.B., and Daniel, K.S. 2008. Potential impacts of the British Columbia herring roe fishery on the spatial and temporal distribution of herring spawn: examination of the serial depletion hypothesis. In Research document (Canadian Science Advisory Secretariat)/Document de recherche (Secretariat canadien de consultation scientifique). Fisheries and Oceans Canada, Science. Available from https://www.proquest.com/reports/potential-impacts-british-columbia-herring-roe/docview/1011210425/se-2?accountid=27308.",2008,organization report,Canada,Pacific,BC,distribution,> 5 years,Pacific Herring,no,"Adult, Egg",no,no,no,no,"purse seine, gillnets, other",NA,NA,"catch, standardized biomass , other , standardized abundance",fisheries,NA,NA,NA,NA,NA,NA,NA,NA,NA,fisheries,NA,NA,"fisheries, other pressure",NA,NA,NA,NA,fisheries,fisheries,NA,https://waves-vagues.dfo-mpo.gc.ca/Library/334895.pdf,Pacific,,,,
"Hay, D.E., Thompson, M.J., and McCarter, P.B.","Hay, D.E., Thompson, M.J., and McCarter, P.B. 2001. Anatomy of a strong year class: Analysis of the 1977 year class of Pacific herring in British Columbia and Alaska. In Herring: Expectations for a new millennium. University of Alaska Sea Grant.",2001,conference,"Canada, USA",Pacific,"BC, Alaska",life history,> 5 years,Pacific Herring,no,"Egg, Juvenile, Adult",no,no,no,no,"purse seine, gillnets, pelagic trawl",NA,NA,"age , other",NA,not linked to a pressure,not linked to a pressure,NA,NA,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other pressure,other pressure,other pressure,NA,Pacific,,,,
"Lilly, G. R.","Lilly, G. R. 1992 Distribution of capelin on Grand Bank (Div. 3LNO) in the springs of 1987 and 1991, as inferred from bottom-trawl by- catches and cod stomach examinations. NAFO SCR Doc. 92/7 Serial No. N2040",1992,organization report,Canada,Atlantic,Southern Newfoundland (Divs. 3NOPs),"distribution, ecosystem",< 5 years,Capelin,no,not specified,no,yes,yes,no,"bottom trawl, predator",NA,NA,standardized abundance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NLMar,,,,
"Hay, D., Schweigert, J., Boldt, J.L., and Thompson, M.","Hay, D., Schweigert, J., Boldt, J.L., and Thompson, M. 2019. Temporal changes in size-at-age: impacts and implications for reproductive biology, egg density and management of Pacific herring in British Columbia. Deep Sea Res. Part II Top. Stud. Oceanogr. 159: 42–51. Elsevier. Available from https://www.sciencedirect.com/science/article/pii/S0967064517303478?via%3Dihub.",2019,journal paper,Canada,Pacific,BC,"life history, stock structure",> 5 years,Pacific Herring,no,"Egg, Adult",no,no,no,no,"other, purse seine",NA,NA,NA,NA,density dependence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other pressure,NA,"other pressure, density dependence",NA,NA,other pressure,"other pressure, density dependence",NA,NA,https://www.sciencedirect.com/science/article/pii/S0967064517303478?via%3Dihub,Pacific,,,,
"Lilly, G. R., Simpson, M.","Lilly, G. R., Simpson, M. 2000 Distribution and biomass of capelin, Arctic cod and sand lance on the northeast Newfoundland Shelf and Grand Bank as deduced from bottom-trawl surveys. CSAS Research Document 2000/091",2000,organization report,Canada,Atlantic,"Newfoundland and Labrador shelf ecosystem (Divs. 2GHJ3KL), Southern Newfoundland (Divs. 3NOPs)",distribution,> 5 years,Capelin,yes,not specified,no,yes,no,no,bottom trawl,NA,NA,standardized abundance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not linked to a pressure,NA,NA,NA,NLMar,,,,
"Lilly, G. R., Simpson, M.","Lilly, G. R., Simpson, M. 2000 Distribution and biomass of capelin, Arctic cod and sand lance on the northeast Newfoundland Shelf and Grand Bank as deduced from bottom-trawl surveys. CSAS Research Document 2000/091",2000,organization report,Canada,Atlantic,"Newfoundland and Labrador shelf ecosystem (Divs. 2GHJ3KL), Southern Newfoundland (Divs. 3NOPs)",distribution,> 5 years,sand lances,no,not specified,no,yes,no,no,bottom trawl,NA,NA,standardized abundance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not linked to a pressure,NA,NA,NA,NLMar,,,,
"Henderson, S., Therriault, T.W., Haegle, C.W., Schweigert, J., and Thompson, M.","Henderson, S., Therriault, T.W., Haegle, C.W., Schweigert, J., and Thompson, M. 2004. Central coast juvenile herring survey, August 2002. Fisheries and Oceans Canada, Science Branch, Pacific Region, Pacific Biological Station, Nanaimo, B.C. Available from http://dfo-mpo.summon.serialssolutions.com/2.0.0/link/0/eLvHCXMwfV3dS8MwED8GQ9T54Cc6P4jvdjRpm7WPZXXzRQQRfBztJamItmNdBP97L139QNC3wEESQu6Xux-_uwAEYuR7vzAhQR2LccQxHKPkRnIVY4FBboxMlB-7eudsFt9nUTYLbnvw-VGdI99M8-IVjaFkz9HqT6MSfzRPEr7rh-7q9yhuJ7_sp3ePk3QbNqsltqq.",2004,organization report,Canada,Pacific,Northern and Central BC,"life history, distribution",1 year,Pacific Herring,yes,Juvenile,no,yes,no,yes,purse seine,NA,NA,"size , abundance , catch, age",NA,not linked to a pressure,not linked to a pressure,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not linked to a pressure,NA,NA,https://waves-vagues.dfo-mpo.gc.ca/Library/282909.pdf,Pacific,,,,
"LOBEL, P B, BELKHODE, S P, JACKSON, S E, LONGERICH, H P","LOBEL, P B, BELKHODE, S P, JACKSON, S E, LONGERICH, H P 1991 SEDIMENT IN THE INTESTINAL-TRACT - A POTENTIALLY SERIOUS SOURCE OF ERROR IN AQUATIC BIOLOGICAL MONITORING PROGRAMS. Mar Environ Res. 31: 163-174",1991,journal paper,Canada,Atlantic,Newfoundland and Labrador shelf ecosystem (Divs. 2GHJ3KL),other,1 year,Capelin,no,Adult,no,no,no,no,dipnet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NLMar,,,,
"Henderson, S., Thompson, M., and Therriault, T.W.","Henderson, S., Thompson, M., and Therriault, T.W. 2005. Central coast juvenile herring survey, August 2003. Fisheries and Oceans Canada, Nanaimo, B.C. Available from http://dfo-mpo.summon.serialssolutions.com/2.0.0/link/0/eLvHCXMwfV3dS8MwED8GQ9T54CdufhDf7ViStksfy-rmiwgi-DjaS1IRbWVdBf97LyV-IOhb4CAJIfeRX-5-ByDFeBL8sgkJGiWmEcdwijG3MdcKC5S5tXGiJ8rVO2cLdZdF2ULe9OCzUZ0D32zzHBSNpceeg9UfxyX-IE-SsSKX6Ri3KW4nveyntw-zdBs2qxV2WVP.",2005,organization report,Canada,Pacific,Northern and Central BC,"life history, distribution",1 year,Pacific Herring,yes,Juvenile,no,yes,yes,yes,"purse seine, predator",NA,NA,"size , abundance , catch, age",NA,not linked to a pressure,not linked to a pressure,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not linked to a pressure,NA,NA,https://waves-vagues.dfo-mpo.gc.ca/Library/287007.pdf,Pacific,,,,
"Massaro, M, Chardine, J W, Jones, I L, Robertson, G J","Massaro, M, Chardine, J W, Jones, I L, Robertson, G J 2000 Delayed capelin (Mallotus villosus) availability influences predatory behaviour of large gulls on black-legged kittiwakes (Rissa tridactyla), causing a reduction in kittiwake breeding success. Cdn J Zool 78: 1588-1596",2000,journal paper,Canada,Atlantic,Southern Newfoundland (Divs. 3NOPs),ecosystem,< 5 years,Capelin,no,not specified,no,no,yes,no,predator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NLMar,,,,
"Hourston, A.S.","Hourston, A.S. 1982. Homing by Canada’s west coast herring to management units and divisions as indicated by tag recoveries. Can. J. Fish. Aquat. Sci. 39(10): 1414–1422. Dep. Fish. Oceans, Resour. Serv. Branch, Pac. Biol. Stn., Nanaimo, B.C. V9R 5K6, Canada. Available from https://www.proquest.com/scholarly-journals/homing-canadas-west-coast-herring-management/docview/13673179/se-2?accountid=27308.",1982,journal paper,Canada,Pacific,BC,"migration, stock structure",> 5 years,Pacific Herring,no,"Adult, Juvenile",no,no,no,no,"tagging, purse seine",NA,tagging,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not linked to a pressure,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://cdnsciencepub.com/doi/pdf/10.1139/f82-190,Pacific,,,,
"Maxner, E., Halden, N. M., Roth, J. D., Davoren, G. K.","Maxner, E., Halden, N. M., Roth, J. D., Davoren, G. K. 2016 Intrinsic factors influence the timing of arrival of capelin (Mallotus villosus) to spawning grounds in coastal Newfoundland. Fisheries Research 179: 202-212",2016,journal paper,Canada,Atlantic,Newfoundland and Labrador shelf ecosystem (Divs. 2GHJ3KL),migration,< 5 years,Capelin,no,Adult,no,no,no,no,"dipnet, purse seine",NA,NA,abundance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooplankton (secondary productivity), other pressure, temperature, salinity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NLMar,,,,
"Dickson, F. V.","Dickson, F. V. 1975. Summary of 1975 trial herring spawn on kelp fishery in British Columbia. Dept. of the Environment, Fisheries and Marine Service, Vancouver, B.C. Available from https://waves-vagues.dfo-mpo.gc.ca/Library/345025.pdf.",1975,organization report,Canada,Pacific,BC,"life history, other",1 year,Pacific Herring,no,"Egg, Adult",no,no,no,no,other,NA,NA,NA,NA,NA,NA,NA,NA,"other pressure, fisheries",NA,NA,NA,NA,NA,NA,NA,"fisheries, other pressure, density dependence",NA,NA,NA,NA,fisheries,NA,NA,https://waves-vagues.dfo-mpo.gc.ca/Library/345025.pdf,Pacific,,,,
"Maynard, L. D., Carvalho, P. C., Davoren, G. K.","Maynard, L. D., Carvalho, P. C., Davoren, G. K. 2020 Seabirds vary responses to supplemental food under dynamic natural prey availability and feeding aggregation composition. AUK 137: 1-31",2020,journal paper,Canada,Atlantic,Newfoundland and Labrador shelf ecosystem (Divs. 2GHJ3KL),ecosystem,< 5 years,Capelin,no,Adult,no,no,yes,no,predator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NLMar,,,,
"Flostrand, L., Schweigert, J.F., and Daniel, K.","Flostrand, L., Schweigert, J.F., and Daniel, K. 2007. A database for Pacific herring tagged and recovered in British Columbia from 1999 to 2006 using coded wire tag technology. Fisheries and Oceans Canada, Nanaimo, B.C. Available from https://waves-vagues.dfo-mpo.gc.ca/Library/332466.pdf.",2007,organization report,Canada,Pacific,BC,other,> 5 years,Pacific Herring,no,"Adult, Juvenile",no,no,no,no,tagging,NA,NA,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://waves-vagues.dfo-mpo.gc.ca/Library/332466.pdf,Pacific,,,,
"McCusker, M R, Denti, D, Van Guelpen, L, Kenchington, E, Bentzen, P","McCusker, M R, Denti, D, Van Guelpen, L, Kenchington, E, Bentzen, P. 2013 Barcoding Atlantic Canada's commonly encountered marine fishes. Molecular Ecology Resources 13: 177-188",2013,journal paper,Canada,Atlantic,Newfoundland and Labrador shelf ecosystem (Divs. 2GHJ3KL),stock structure,> 5 years,Capelin,no,not specified,no,no,no,no,bottom trawl,NA,genetics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NLMar,,,,
"Hourston, A.S.","Hourston, A.S. 1981. Summaries of British Columbia herring catch and sampling data by section, week, and gear for the 1970s. Dept. of Fisheries and Oceans, Nanaimo, B.C. Available from http://dfo-mpo.summon.serialssolutions.com/2.0.0/link/0/eLvHCXMwfV1dS8MwFL0MhyjzwU90fnB9X8faNGnyODY3X2Sggo8jbZJN1FasoP57b2InIuhrU0o_kpt7bs85F4Al_UH0KyYI5lJljFCx04OkyKU2jmtWcCd0mnIvfx5P5fWYj6fsqgWrRnW--ObqxyivHYE9X1Zf9hfFD_MkJjMCzV5jTnk7rcv2cHY3Gq4mVCKF8k0.",1981,organization report,Canada,Pacific,BC,"life history, distribution",> 5 years,Pacific Herring,no,"Adult, Juvenile",no,no,no,no,"purse seine, gillnets",NA,NA,"age , size , abundance , catch, other",NA,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not linked to a pressure,NA,NA,https://waves-vagues.dfo-mpo.gc.ca/Library/101190.pdf,Pacific,,,,
"Misra, R. K., Carscadden, J. E.","Misra, R. K., Carscadden, J. E. 1984 Stock Discrimination of Capelin (Mallotus villosus) in the Northwest Atlantic. J Northwest Atlantic Fishery Science 5: 199-205",1984,journal paper,Canada,Atlantic,"Newfoundland and Labrador shelf ecosystem (Divs. 2GHJ3KL), Southern Newfoundland (Divs. 3NOPs), Northern Gulf of St. Lawrence",stock structure,1 year,Capelin,no,Adult,no,no,no,no,not specified,NA,other,abundance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NLMar,,,,
"Hourston, A.S., and Haist, V.","Hourston, A.S., and Haist, V. 1981. Summaries of British Columbia herring catch and sampling data by section, week, and gear for the 1980-81 seasons. Dept. of Fisheries and Oceans, Nanaimo, B.C. Available from http://dfo-mpo.summon.serialssolutions.com/2.0.0/link/0/eLvHCXMwfV1LSwMxEB6KRZR68InWB-O9W_aVbHIsra0XKajgsWQ3SStqWlxB_PdO4lZE0OvusiTZyWS-2W--AcjSfhz98gk8s7nUmsvEqjitSqG0ZSqrmOUqz5kvfx5NxO2IjSbZTQvWjep88s3Wz1FZWwJ7Pq2-6M-rH-JJGZ12OfNyoBS3075sD6YPw8HaoFLBpW9.",1981,organization report,Canada,Pacific,BC,"life history, distribution",1 year,Pacific Herring,no,"Adult, Juvenile",no,no,no,no,"purse seine, gillnets",NA,NA,"age , size , abundance , catch, other",NA,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not linked to a pressure,NA,NA,https://waves-vagues.dfo-mpo.gc.ca/Library/101328.pdf,Pacific,,,,
"Mullowney, D. R. J., Rose, G. A.","Mullowney, D. R. J., Rose, G. A. 2014 Is recovery of northern cod limited by poor feeding? The capelin hypothesis revisited. ICES J Mar Sci 71: 784-793",2014,journal paper,Canada,Atlantic,Newfoundland and Labrador shelf ecosystem (Divs. 2GHJ3KL),ecosystem,< 5 years,Capelin,no,not specified,yes,no,yes,no,predator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NLMar,,,,
"Hourston, A.S.","Hourston, A.S. 1980. British Columbia herring landings for the 1970-71 season. Dept. of Fisheries and Oceans, Resource Services Branch, Pacific Biological Station, Nanaimo, B.C. Available from http://dfo-mpo.summon.serialssolutions.com/2.0.0/link/0/eLvHCXMwfV1bS8MwFD4MhyjzwSs6L8QfkJGmbXr6OFo3X2Qggo8jTZspzEys_x9PslZE0OeEExKSk_N95wYQy4ngv3SClEJLTI3COKmS2MSEK5TCHCulBFaeKSjn-Fim5Tx-GEDfqM6Tb7Zd86q1BPY8rf4yWZkfxZNIDoqQQU12O73L4XTxXEz7CyVR5b6pZa-aFWG.",1980,organization report,Canada,Pacific,BC,distribution,1 year,Pacific Herring,no,"Adult, Juvenile",no,no,no,no,"purse seine, gillnets, commercial pelagic trawl",NA,NA,"catch, CPUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://waves-vagues.dfo-mpo.gc.ca/Library/38796.pdf,Pacific,,,,
"Murphy, H. M., Pepin, P., Robert, D.","Murphy, H.M., Pepin. P., Robert, D. 2018 Re-visiting the drivers of capelin recruitment in Newfoundland since 1991. Fish Res 200",2018,journal paper,Canada,Atlantic,Newfoundland and Labrador shelf ecosystem (Divs. 2GHJ3KL),life history,< 5 years,Capelin,no,"Larval, Adult",yes,yes,no,yes,plankton net,NA,NA,standardized abundance,NA,"temperature, zooplankton (secondary productivity)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,upwelling (magnitude or timing),NA,NA,NA,NA,other pressure,NA,NA,NA,NLMar,,,,
"Hourston, A.S.","Hourston, A.S. 1980. British Columbia herring landings for the 1973-74 seaon. Can. Data Rep. Fish. Aquat. Sci. 233. Available from https://www.proquest.com/books/british-columbia-herring-landings-1973-74-seaon/docview/15212119/se-2?accountid=27308.",1980,organization report,Canada,Pacific,BC,distribution,1 year,Pacific Herring,no,"Adult, Juvenile",no,no,no,no,"purse seine, gillnets, commercial pelagic trawl",NA,NA,"catch, CPUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://waves-vagues.dfo-mpo.gc.ca/Library/38791.pdf,Pacific,,,,
"Nakashima, B. S.","Nakashima, B. S. 1984 Some results of the 1983 capelin tagging experiments in Conception Bay, Newfoundland. NAFO SCR Doc. 84/VI/55 Serial No. N842",1984,organization report,Canada,Atlantic,Newfoundland and Labrador shelf ecosystem (Divs. 2GHJ3KL),stock structure,1 year,Capelin,no,Adult,no,no,no,no,"purse seine, fixed gear, mobile gear",NA,tagging,abundance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NLMar,,,,
"Hourston, A.S.","Hourston, A.S. 1980. British Columbia herring landings for the 1972-73 season. Dept. of Fisheries and Oceans, Nanaimo, B.C. Available from http://dfo-mpo.summon.serialssolutions.com/2.0.0/link/0/eLvHCXMwfV1NSwMxEB2KRZR68BOtH8QfsCVNstnZY9m19SIFETyWbHZThZoV1_-PSZoVEfQcSMiQTOa9ycwD4GxCk18-gTGqGKZaIheV4Jo7XCEl5lhJSbHyTEG5wMcyLRf8YQC9UJ0n30y3SarOOLDnafWXyVr_aJ7EUVIR6tZd3O7u5XC2fC5m_YFiKHMvatm7Zum.",1980,organization report,Canada,Pacific,BC,distribution,1 year,Pacific Herring,no,"Adult, Juvenile",no,no,no,no,"purse seine, gillnets, commercial pelagic trawl",NA,NA,"catch, CPUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://waves-vagues.dfo-mpo.gc.ca/Library/38793.pdf,Pacific,,,,
"Nakashima, B.S.","Nakashima, B.S. 1992 PATTERNS IN COASTAL MIGRATION AND STOCK STRUCTURE OF CAPELIN (MALLOTUS-VILLOSUS). CJFAS 49: 2423-2429",1992,journal paper,Canada,Atlantic,"Newfoundland and Labrador shelf ecosystem (Divs. 2GHJ3KL), Southern Newfoundland (Divs. 3NOPs)",stock structure,> 5 years,Capelin,no,Adult,no,no,no,no,"purse seine, hydroacoustics, pelagic trawl, fixed gear, mobile gear",NA,tagging,abundance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"transport (currents, etc)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NLMar,,,,
"Hourston, A.S.","Hourston, A.S. 1980. British Columbia herring landings for the 1976-77 season. Dept. of Fisheries and Oceans, Nanaimo, B.C. Available from http://dfo-mpo.summon.serialssolutions.com/2.0.0/link/0/eLvHCXMwfV3bSsQwEB2Kiyjrg1d0vRA_oEvbXJo8Lq27vsiCCD4uadOswpqK9f9x0k1FBH0OJCRMZuacZM4A0GyaxL98gqCWKWOESq1OsrqS2liuac2t0IxxX_5cLuRjycsFfYhgaFTnyTfbbeKqswj2PK3-Ml3XP8STqMwRNHsXjHk73svRbPlczAaDyqRQvqnl4Jo.",1980,organization report,Canada,Pacific,BC,distribution,1 year,Pacific Herring,no,"Adult, Juvenile",no,no,no,no,"purse seine, gillnets, commercial pelagic trawl",NA,NA,"catch, CPUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://waves-vagues.dfo-mpo.gc.ca/Library/101178.pdf,Pacific,,,,
"Nakashima, B.S.","Nakashima, B. S. 1996 The relationship between oceanographic conditions in the 1990s and changes in spawning behaviour, growth and early life history of capelin (Mallotus villosus). NAFO Sci. Coun. Studies, 24: 55-68",1996,organization report,Canada,Atlantic,"Newfoundland and Labrador shelf ecosystem (Divs. 2GHJ3KL), Southern Newfoundland (Divs. 3NOPs)",life history,< 5 years,Capelin,no,Larval,no,no,no,no,beach seine,NA,NA,standardized abundance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NLMar,,,,
"Hourston, A.S.","Hourston, A.S. 1980. British Columbia herring landings for the 1971-72 season. Dept. of Fisheries and Oceans, Nanaimo, B.C. Available from http://dfo-mpo.summon.serialssolutions.com/2.0.0/link/0/eLvHCXMwfV3bSsQwEB2Kiyjrg1d0vRA_IEuTNLfHpXXXF1kQwcclbZpVWFOx_j8m3VZE0OdAQsJkMudk5gwAo9MU__IJgrlMWys0cSalVamMddywijthsozH8udioR4LXizYQwJDo7pIvrl2g8vWBbAXafWX6br6IZ7ElAyIIcqBhrg93MvRbPmczwaDokro2NRycM0.",1980,organization report,Canada,Pacific,BC,distribution,1 year,Pacific Herring,no,"Adult, Juvenile",no,no,no,no,"purse seine, gillnets, commercial pelagic trawl",NA,NA,"catch, CPUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://waves-vagues.dfo-mpo.gc.ca/Library/38794.pdf,Pacific,,,,
"Nakashima, B.S., Borstad, G. A.","Nakashima, B.S., Borstad, G. A. 1993 Detecting and measuring pelagic fish schools using remote sensing techniques. ICES CM 1992/B:7 Fish Capture Committee",1993,organization report,Canada,Atlantic,Newfoundland and Labrador shelf ecosystem (Divs. 2GHJ3KL),distribution,1 year,Capelin,no,Adult,no,no,no,no,aerial,NA,NA,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NLMar,,,,
"Hourston, A.S.","Hourston, A.S. 1980. British Columbia herring landings for the 1979-80 season. Dept. of Fisheries and Oceans, Nanaimo, B.C. Available from http://dfo-mpo.summon.serialssolutions.com/2.0.0/link/0/eLvHCXMwfV1bS8MwFD4UhyjzwSs6L8Qf0NE2lyaPo3XzRQYi-DjSppnCTMX6_zGnS0UEfQ4kJJycy5d83wGg2TSJf_kEQS1TxgiVWp1kdSW1sVzTmluhGeNIfy4X8rHk5YI-RDA0qkPwzXabuOqsL_YQVn-Zrusf4klUCuR2ehfs83Z_L0ez5XMxGwwqk0JhU8vBNQt.",1980,organization report,Canada,Pacific,BC,distribution,1 year,Pacific Herring,no,"Adult, Juvenile",no,no,no,no,"purse seine, gillnets, commercial pelagic trawl",NA,NA,"catch, CPUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://waves-vagues.dfo-mpo.gc.ca/Library/38782.pdf,Pacific,,,,
"Nakashima, B. S., Slaney, B. W.","Nakashima, B. S., Slaney, B. W.  1992 Capelin egg deposition on fifteen spawning beaches in Conception Bay, Newfoundland in 1987-91. NAFO SCR Doc. 92/2 Serial No. N2035",1992,organization report,Canada,Atlantic,Newfoundland and Labrador shelf ecosystem (Divs. 2GHJ3KL),distribution,< 5 years,Capelin,no,"Egg, Larval",no,no,no,no,sediment,NA,NA,standardized abundance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NLMar,,,,
"Hourston, A.S.","Hourston, A.S. 1980. British Columbia herring landings for the 1978-79 season. Dept. of Fisheries and Oceans, Nanaimo, B.C. Available from http://dfo-mpo.summon.serialssolutions.com/2.0.0/link/0/eLvHCXMwfV1NSwMxEB2KRZR68BOtH8QfsGU3yWaTY9m19SIFETyWbHZThZqK6__HSZoVEfQcSEiYTOa9ybwBYHSSJr98AqWppjI3QjJec2YY4gohpJK1EKmsPVNQzeVjlVdz9jCAvlGdJ99st07qziLY87T6y2RlfognMXzteFD9xLgd7-Vwungup71BUSmUb2rZu2a.",1980,organization report,Canada,Pacific,BC,distribution,1 year,Pacific Herring,no,"Adult, Juvenile",no,no,no,no,"purse seine, gillnets, commercial pelagic trawl",NA,NA,"catch, CPUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://waves-vagues.dfo-mpo.gc.ca/Library/101180.pdf,Pacific,,,,
"Nakashima, B. S., Slaney, B. W.","Nakashima, B. S., Slaney, B. W. 1993 Capelin (Mallotus villosus) egg deposition on fifteen spawning beaches in Conception Bay, Newfoundland in 1992. DFO Atlantic Fisheries Res Doc 93/7",1993,organization report,Canada,Atlantic,Newfoundland and Labrador shelf ecosystem (Divs. 2GHJ3KL),distribution,1 year,Capelin,no,"Egg, Larval",no,no,no,no,sediment,NA,NA,standardized abundance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NLMar,,,,
